0.010001 1 -0
0.110001 1 -0
0.210001 1 0.00418536
0.210001 2 -0
0.310001 1 0.00418536
0.310001 2 0.00418536
0.410001 1 0.167562
0.410001 2 0.00418536
0.510001 1 0.167562
0.510001 2 0.0101183
0.610001 1 0.227332
0.610001 2 0.0101183
0.710001 1 0.266278
0.710001 2 0.0137639
0.810001 1 0.304463
0.810001 2 0.0158313
0.910001 1 0.327994
0.910001 2 0.0176254
1.01 1 0.33605
1.01 2 0.0189574
1.11 1 0.364548
1.11 2 0.0193513
1.21 1 0.362532
1.21 2 0.0211034
1.31 1 0.389559
1.31 2 0.020655
1.41 1 0.384234
1.41 2 0.0221951
1.51 1 0.40758
1.51 2 0.021919
1.61 1 0.404057
1.61 2 0.0233619
1.71 1 0.421291
1.71 2 0.0231332
1.81 1 0.414331
1.81 2 0.0242792
1.91 1 0.432525
1.91 2 0.0249118
2.01 1 0.423338
2.01 2 0.0272853
2.11 1 0.415534
2.11 2 0.0268121
2.21 1 0.397766
2.21 2 0.0263427
2.31 1 0.396258
2.31 2 0.0253691
2.41 1 0.396258
2.41 2 0.0252182
2.51 1 0.372118
2.51 2 0.0252182
2.61 1 0.372118
2.61 2 0.0236426
2.71 1 0.351804
2.71 2 0.0236426
2.81 1 0.351804
2.81 2 0.0223168
2.91 1 0.334474
2.91 2 0.0223168
3.01 1 0.334474
3.01 2 0.0211857
3.11 1 0.319515
3.11 2 0.0211857
3.21 1 0.319515
3.21 2 0.0202094
3.31 1 0.307353
3.31 2 0.0202094
3.41 1 0.306472
3.41 2 0.0194267
3.51 1 0.294496
3.51 2 0.019358
3.61 1 0.293802
3.61 2 0.0185692
3.71 1 0.284173
3.71 2 0.0185138
3.81 1 0.283698
3.81 2 0.017896
3.91 1 0.275015
3.91 2 0.0178554
4.01 1 0.273659
4.01 2 0.0172987
4.11 1 0.264305
4.11 2 0.0172832
4.21 1 0.264114
4.21 2 0.0172832
4.31 1 0.264114
4.31 2 0.0168441
4.41 1 0.257372
4.41 2 0.0168441
4.51 1 0.257372
4.51 2 0.0165587
4.61 1 0.25402
4.61 2 0.0165587
4.71 1 0.25402
4.71 2 0.0163483
4.81 1 0.247855
4.81 2 0.0163483
4.91 1 0.247855
4.91 2 0.0159275
5.01 1 0.242216
5.01 2 0.0159275
5.11 1 0.242216
5.11 2 0.0155426
5.21 1 0.237039
5.21 2 0.0155426
5.31 1 0.237039
5.31 2 0.0151892
5.41 1 0.232269
5.41 2 0.0151892
5.51 1 0.232269
5.51 2 0.0148636
5.61 1 0.227861
5.61 2 0.0148636
5.71 1 0.227861
5.71 2 0.0145627
5.81 1 0.222202
5.81 2 0.0145627
5.91 1 0.223774
5.91 2 0.0141355
6.01 1 0.217353
6.01 2 0.0142259
6.11 1 0.219974
6.11 2 0.0142259
6.21 1 0.219974
6.21 2 0.0139686
6.31 1 0.215787
6.31 2 0.0139686
6.41 1 0.215787
6.41 2 0.0137386
6.51 1 0.211471
6.51 2 0.0137386
6.61 1 0.211471
6.61 2 0.0135681
6.71 1 0.208746
6.71 2 0.0135681
6.81 1 0.208746
6.81 2 0.0135369
6.91 1 0.206693
6.91 2 0.0135369
7.01 1 0.206693
7.01 2 0.0134051
7.11 1 0.203971
