0.010001 1 +0.0ns
0.110001 1 +52100533.0ns
0.110001 2 +0.0ns
0.210001 1 +52918666.0ns
0.210001 2 +52100533.0ns
0.310001 1 +52918666.0ns
0.310001 2 +52093598.0ns
0.410001 1 +52918666.0ns
0.410001 2 +52079733.0ns
0.510001 1 +52918666.0ns
0.510001 2 +52093598.0ns
0.610001 1 +52918666.0ns
0.610001 2 +52107464.0ns
0.710001 1 +52918666.0ns
0.710001 2 +52107464.0ns
0.810001 1 +52918666.0ns
0.810001 2 +52093598.0ns
0.910001 1 +52918666.0ns
0.910001 2 +52093598.0ns
1.01 1 +52918666.0ns
1.01 2 +52093598.0ns
1.11 1 +52918666.0ns
1.11 2 +52093598.0ns
1.21 1 +52918666.0ns
1.21 2 +52079733.0ns
1.31 1 +52918666.0ns
1.31 2 +52107464.0ns
1.41 1 +52918666.0ns
1.41 2 +52093598.0ns
1.51 1 +52918666.0ns
1.51 2 +52093598.0ns
1.61 1 +52918666.0ns
1.61 2 +52079733.0ns
1.71 1 +52918666.0ns
1.71 2 +52093598.0ns
1.81 1 +52918666.0ns
1.81 2 +52093598.0ns
1.91 1 +52918666.0ns
1.91 2 +52107464.0ns
2.01 1 +52918666.0ns
2.01 2 +52093598.0ns
2.11 1 +52918666.0ns
2.11 2 +52093598.0ns
2.21 1 +53662131.0ns
2.21 2 +52093598.0ns
2.31 1 +52918666.0ns
2.31 2 +52093598.0ns
2.41 1 +52918666.0ns
2.41 2 +52093598.0ns
2.51 1 +52918666.0ns
2.51 2 +52093598.0ns
2.61 1 +52918666.0ns
2.61 2 +52079733.0ns
2.71 1 +52918666.0ns
2.71 2 +52107464.0ns
2.81 1 +52918666.0ns
2.81 2 +52093598.0ns
2.91 1 +53662131.0ns
2.91 2 +52093598.0ns
3.01 1 +52918666.0ns
3.01 2 +52093598.0ns
3.11 1 +52918666.0ns
3.11 2 +52093598.0ns
3.21 1 +52918666.0ns
3.21 2 +52093598.0ns
3.31 1 +52918666.0ns
3.31 2 +52093598.0ns
3.41 1 +52918666.0ns
3.41 2 +52093598.0ns
3.51 1 +52918666.0ns
3.51 2 +52093598.0ns
